Poslovne aplikacije,Vezbe,Mijatovic Igor,101,Petak,12:15-14,Raf4
Uvod u programiranje,Vezbe,Veniger Marko,101,Sreda,16:15-18,Rg6
Uvod u programiranje,Praktikum,Tesic Nemanja,101,Petak,14:15-16,Raf4
Engleski 1,Predavanja,Cuk Bojana,101,Utorak,15:15-17,Raf11
Linearna algebra i analiticka geometrija,Predavanja,Jovanovic Jelena,101,Cetrvtak,15:15-17,Raf11
Linearna algebra i analiticka geometrija,Vezbe,Rankovic Dragica,101,Utorak,12:15-15,Raf11
Uvod u programiranje,Predavanja,Urosevic Dragan,101,Cetrvtak,12:15-14,Raf6
Diskretne strukture,Predavanja,Jovanovic Irena,101,Cetrvtak,17:15-19,Raf11
Diskretne strukture,Vezbe,Jerotijevic Marija,101,Sreda,18:15-21,Raf11
Poslovne aplikacije,Vezbe,Mijatovic Igor,102,Sreda,15:15-17,Raf4
Uvod u programiranje,Vezbe,Milojkovic Branislav,102,Utorak,09:15-11,Raf7
Uvod u programiranje,Praktikum,Tesic Nemanja,102,Cetrvtak,19:15-21,Raf3
Poslovne aplikacije,Vezbe,Mijatovic Igor,103,Cetrvtak,11:15-13,Raf4
Uvod u programiranje,Vezbe,Vignjevic Mihailo,103,Cetrvtak,09:15-11,Raf4
Uvod u programiranje,Praktikum,Al Hakan Alya,103,Ponedeljak,17:15-19,Raf3
Engleski 1,Predavanja,Cuk Bojana,103,Sreda,09:15-11,Raf11
Linearna algebra i analiticka geometrija,Predavanja,Filipovic Milanka,103,Petak,16:15-18,Raf6
Linearna algebra i analiticka geometrija,Vezbe,Rankovic Dragica,103,Petak,18:15-21,Raf11
Uvod u programiranje,Predavanja,Dimic Surla Bojana,103,Sreda,11:15-13,Raf11
Diskretne strukture,Predavanja,Jovanovic Irena,103,Ponedeljak,19:15-21,Raf6
Diskretne strukture,Vezbe,Jerotijevic Marija,103,Utorak,17:15-20,Raf11
Poslovne aplikacije,Vezbe,Mijatovic Igor,104,Sreda,13:15-15,Raf4
Uvod u programiranje,Vezbe,Vignjevic Mihailo,104,Utorak,13:15-15,Raf7
Uvod u programiranje,Praktikum,Zivkovic Stefan,104,Petak,13:15-15,Raf7
Poslovne aplikacije,Vezbe,Mijatovic Igor,105,Utorak,17:15-19,Raf4
Uvod u programiranje,Praktikum,Zivkovic Stefan,105,Sreda,19:15-21,Raf7
Uvod u programiranje,Vezbe,Vignjevic Mihailo,105,Petak,11:15-13,Raf7
Linearna algebra i analiticka geometrija,Vezbe,Rankovic Dragica,105,Cetrvtak,15:15-18,Raf6
Uvod u programiranje,Predavanja,Dimic Surla Bojana,105,Petak,09:15-11,Raf6
Diskretne strukture,Predavanja,Jovanovic Irena,105,Sreda,15:15-17,Raf6
Diskretne strukture,Vezbe,Jerotijevic Marija,105,Cetrvtak,18:15-21,Raf6
Linearna algebra i analiticka geometrija,Predavanja,Filipovic Milanka,105,Sreda,17:15-19,Raf6
Engleski 1,Predavanja,Cuk Bojana,106,Petak,11:15-13,Raf3
Poslovne aplikacije,Vezbe,Mijatovic Igor,106,Sreda,11:15-13,Raf4
Uvod u programiranje,Praktikum,Jelic Lazar,106,Petak,15:15-17,Raf7
Uvod u programiranje,Vezbe,Matovic Marko,106,Sreda,13:15-15,Raf7
Poslovne aplikacije,Vezbe,Mijatovic Igor,107,Utorak,15:15-17,Raf4
Uvod u programiranje,Vezbe,Matovic Marko,107,Utorak,13:15-15,Raf4
Uvod u programiranje,Praktikum,Jelic Lazar,107,Sreda,19:15-21,Raf5
Engleski 1,Predavanja,Cuk Bojana,105,Utorak,19:15-21,Raf6
Crtanje i slikanje,Predavanja i vezbe,Prusevic Dulic Mersiha,1d1,Utorak,10:15-13,RafAtelje
Crtanje i slikanje,Predavanja i vezbe,Prusevic Dulic Mersiha,1d1,Utorak,13:15-16,RafAtelje
Engleski 1,Predavanja,Cuk Bojana,1d1,Petak,15:15-17,RafAtelje
Osnovi oblikovanja,Predavanja,Malesevic Nenad,1d1,Ponedeljak,09:15-12,RafAtelje
Osnovi oblikovanja,Vezbe,Eskobar Dobrijevic Katarina,1d1,Petak,09:15-12,Raf14
Osnovi projektovanja,Predavanja,Djuricic Ana,1d1,Cetrvtak,09:15-12,RafAtelje
Osnovi projektovanja,Vezbe,Stojanovic Visnja,1d1,Petak,12:15-15,Raf14
Crtanje i slikanje,Predavanja i vezbe,Prusevic Dulic Mersiha,1d2,Sreda,13:15-16,RafAtelje
Crtanje i slikanje,Predavanja i vezbe,Prusevic Dulic Mersiha,1d2,Sreda,10:15-13,RafAtelje
Administracija i odrzavanje sistema 1,Predavanja,Seslija Ognjen,1s1,Utorak,18:15-21,Raf2
Administracija i odrzavanje sistema 1,Vezbe,Seslija Ognjen,1s1,Sreda,18:15-21,Raf2
Organizacija racunara,Vezbe,Stambolovic Bogdana,1s1,Petak,17:15-20,Raf3
Praktikum iz arhitekture racunara i operativnih sistema,Praktikum,Stambolovic Bogdana,1s1,Petak,15:15-17,Raf3
Osnovi programiranja,Vezbe,Paunovic Vanja,1s1,Sreda,12:15-15,Raf3
Organizacija racunara,Predavanja,Mirkovic Bogdan,1s1,Cetrvtak,8:15-11,Kolarac1
Engleski 1,Predavanja,Vrbica-Matejic Vera,1s1,Ponedeljak,09:15-11,Raf11
Osnovi programiranja,Predavanja,Mirkovic Bogdan,1s1,Cetrvtak,11:15-13,Kolarac1
Administracija i odrzavanje sistema 1,Predavanja,Lale Sinisa,1s2,Utorak,12:15-15,Raf3
Administracija i odrzavanje sistema 1,Vezbe,Lale Sinisa,1s2,Utorak,09:15-12,Raf3
Organizacija racunara,Vezbe,Stambolovic Bogdana,1s2,Sreda,15:15-18,Raf3
Praktikum iz arhitekture racunara i operativnih sistema,Praktikum,Stambolovic Bogdana,1s2,Sreda,19:15-21,Rg1
Osnovi programiranja,Vezbe,Sijacic Dusan,1s2,Ponedeljak,11:15-14,Raf7
Engleski 1,Predavanja,Vrbica-Matejic Vera,1s2,Petak,12:15-14,Raf11
Administracija i odrzavanje sistema 1,Predavanja,Kostadinovic Miodrag,1s3,Cetrvtak,13:15-16,Raf5
Administracija i odrzavanje sistema 1,Vezbe,Kostadinovic Miodrag,1s3,Utorak,11:15-14,Raf5
Organizacija racunara,Vezbe,Stambolovic Bogdana,1s3,Utorak,14:15-17,Raf5
Praktikum iz arhitekture racunara i operativnih sistema,Praktikum,Stambolovic Bogdana,1s3,Utorak,17:15-19,Rg1
Osnovi programiranja,Vezbe,Paunovic Vanja,1s3,Petak,09:15-12,Raf5
Dizajn softvera,Vezbe,MarkovicAna,201,Petak,16:15-18,Raf4
Algoritmi i strukture podataka,Vezbe,Mandic Dejana,201,Cetrvtak,14:15-16,Raf7
Inteligentni sistemi,Vezbe,Tomic Milan,201,Cetrvtak,16:15-18,Raf5
Dizajn softvera,Predavanja,Perisic Branko,201,Ponedeljak,14:15-17,Raf6
Inteligentni sistemi,Predavanja,Vasiljevic Jelena,201,Ponedeljak,17:15-20,Raf11
Algoritmi i strukture podataka,Predavanja,Urosevic Dragan,201,Petak,13:15-16,Raf6
Napredna matemaricka analiza,Predavanja,Filipovic Milanka,201,Sreda,09:15-11,Kolarac2
Napredna matemaricka analiza,Vezbe,Filipovic Milanka,201,Sreda,11:15-13,Kolarac2
Dizajn softvera,Vezbe,MarkovicAna,202,Petak,19:15-21,Raf7
Algoritmi i strukture podataka,Vezbe,Mandic Dejana,202,Petak,17:15-19,Raf7
Inteligentni sistemi,Vezbe,Tomic Milan,202,Ponedeljak,11:15-13,Raf3
Dizajn softvera,Vezbe,MarkovicAna,203,Ponedeljak,12:15-14,Raf5
Algoritmi i strukture podataka,Vezbe,Arsenijevic Ognjen,203,Cetrvtak,19:15-21,Raf5
Inteligentni sistemi,Vezbe,Ciganovic Igor,203,Cetrvtak,17:15-19,Raf3
Dizajn softvera,Predavanja,Perisic Branko,203,Ponedeljak,09:15-12,Raf6
Inteligentni sistemi,Predavanja,Vasiljevic Jelena,203,Petak,09:15-12,Raf11